name,tool,cpu_count,time_in_seconds,memory_in_bytes,dataset_size
filter,polars,20,0.0717089399986434,0,800MB
filter,polars,20,0.0661150359992461,0,800MB
filter,polars,20,0.0582123319982201,0,800MB
filter,polars,1,0.3473642659992038,0,400MB
filter,polars,1,0.32727821500157,0,400MB
filter,polars,1,0.3262956540020241,0,400MB
filter,polars,2,0.1370252029992116,0,400MB
filter,polars,2,0.1371604420019139,0,400MB
filter,polars,2,0.1355975500009663,0,400MB
filter,polars,10,0.0390827010014618,0,400MB
filter,polars,10,0.0347092419979162,0,400MB
filter,polars,10,0.049824391000584,0,400MB
filter,polars,20,0.0452963550014828,0,400MB
filter,polars,20,0.0369121650001034,0,400MB
filter,polars,20,0.035798357999738,0,400MB
filter,polars,1,0.1940823139993881,0,200MB
filter,polars,1,0.1345232320018112,0,200MB
filter,polars,1,0.2296806919985101,0,200MB
filter,polars,2,0.0697988169995369,0,200MB
filter,polars,2,0.0702357779991871,0,200MB
filter,polars,2,0.0701701459984178,0,200MB
filter,polars,10,0.020909422000841,0,200MB
filter,polars,10,0.0202986129988858,0,200MB
filter,polars,10,0.0215206700013368,0,200MB
filter,polars,20,0.0267222370021045,0,200MB
filter,polars,20,0.0203025060000072,0,200MB
filter,polars,20,0.0196833959998912,0,200MB
filter,dask,1,27.1400729090019,0,3200MB
filter,dask,1,28.74537985600182,0,3200MB
filter,dask,1,29.16030592000243,0,3200MB
filter,dask,2,29.76633306200165,0,3200MB
filter,dask,2,29.79766544900121,0,3200MB
filter,dask,2,29.35936689099981,0,3200MB
filter,dask,10,30.102203774000373,0,3200MB
filter,dask,10,29.85006802299904,0,3200MB
filter,dask,10,27.175562041000376,0,3200MB
filter,dask,20,30.57125764000012,0,3200MB
filter,dask,20,28.279368024999712,0,3200MB
filter,dask,20,28.86758119500155,0,3200MB
filter,dask,1,12.637405423000018,0,1600MB
filter,dask,1,12.649306262002938,0,1600MB
filter,dask,1,12.657637593998516,0,1600MB
filter,dask,2,14.496069804998116,0,1600MB
filter,dask,2,13.6062033599992,0,1600MB
filter,dask,2,14.390563029002806,0,1600MB
filter,dask,10,13.193164346997946,0,1600MB
filter,dask,10,15.856940240999393,0,1600MB
filter,dask,10,14.361047735001192,0,1600MB
filter,dask,20,14.579652524000268,0,1600MB
filter,dask,20,14.936133237999456,0,1600MB
filter,dask,20,16.897460541000328,0,1600MB
filter,dask,1,6.265385754999443,0,800MB
filter,dask,1,6.25414075700246,0,800MB
filter,dask,1,6.293620896998618,0,800MB
filter,dask,2,6.662291270000424,0,800MB
filter,dask,2,7.022887049002748,0,800MB
filter,dask,2,6.830387943999085,0,800MB
filter,dask,10,6.623517927000648,0,800MB
filter,dask,10,8.19700418100183,0,800MB
filter,dask,10,6.57463026899859,0,800MB
filter,dask,20,6.962300275001326,0,800MB
filter,dask,20,6.5594849070002965,0,800MB
filter,dask,20,7.579985773001681,0,800MB
filter,dask,1,3.114212381999096,0,400MB
filter,dask,1,3.141867641999852,0,400MB
filter,dask,1,3.1325510120004765,0,400MB
filter,dask,2,3.2183675120031694,0,400MB
filter,dask,2,3.2205306540017773,0,400MB
filter,dask,2,3.591332209001848,0,400MB
filter,dask,10,3.3604770290003216,0,400MB
filter,dask,10,3.2941737690016453,0,400MB
filter,dask,10,3.3089506039978005,0,400MB
filter,dask,20,3.2413992479996523,0,400MB
filter,dask,20,3.3203671510018467,0,400MB
filter,dask,20,3.5967684339993866,0,400MB
filter,dask,1,1.5808946640026988,0,200MB
filter,dask,1,1.552676341998449,0,200MB
filter,dask,1,1.5896401939971838,0,200MB
filter,dask,2,1.6093641410006967,0,200MB
filter,dask,2,1.660361455000384,0,200MB
filter,dask,2,1.6225077039998723,0,200MB
filter,dask,10,1.6375488099984068,0,200MB
filter,dask,10,1.6085030919966812,0,200MB
filter,dask,10,1.6211116470003617,0,200MB
filter,dask,20,1.6728174199997738,0,200MB
filter,dask,20,1.6820766540004115,0,200MB
filter,dask,20,1.642494338000688,0,200MB
filter,pandas,1,12.93567518600139,0,1600MB
filter,pandas,1,12.887603367000338,0,1600MB
filter,pandas,1,12.901109181999344,0,1600MB
filter,pandas,2,14.103206662999582,0,1600MB
filter,pandas,2,12.657033344999943,0,1600MB
filter,pandas,2,14.775089238000874,0,1600MB
filter,pandas,10,13.744635031000143,0,1600MB
filter,pandas,10,13.024962931000118,0,1600MB
filter,pandas,10,13.08720941899992,0,1600MB
filter,pandas,20,12.722320423999918,0,1600MB
filter,pandas,20,13.934212382000624,0,1600MB
filter,pandas,20,13.57298703699962,0,1600MB
filter,pandas,1,6.509712883000248,0,800MB
filter,pandas,1,6.121305698001379,0,800MB
filter,pandas,1,6.12692455800061,0,800MB
filter,pandas,2,6.927930399999241,0,800MB
filter,pandas,2,6.461989047998941,0,800MB
filter,pandas,2,6.604193985000165,0,800MB
filter,pandas,10,7.876236586000232,0,800MB
filter,pandas,10,6.191050761000952,0,800MB
filter,pandas,10,6.167294246999518,0,800MB
filter,pandas,20,6.434233530000711,0,800MB
